chnm	casn	dsstox_substance_id	ABCB1	ABCB11	ABCC2	ABCC3	ABCG2	ACLY	ACOX1	ADK	AFP	ALPP	APOA5	BAD	BAX	BCL2	BCL2L11	BID	CASP3	CASP8	CAT	CCND1	CDKN1A	CFLAR	CYP1A1	CYP1A2	CYP24A1	CYP2B6	CYP2C19	CYP2C8	CYP2C9	CYP2E1	CYP3A4	CYP3A5	CYP3A7	CYP4A11	CYP4A22	CYP7A1	DDIT3	EGF	EGR1	EZR	FABP1	FAS	FASN	FMO3	FOXO1	FOXO3	GADD45A	GADD45B	GADD45G	GCLC	GSTA2	GSTM3	HGF	HIF1A	HMGCS2	HSPA1A	ICAM1	IGF1	IGFBP1	IL6	IL6R	JUN	KCNK1	KRT19	LDH	LIPC	LPL	MIR122	MMP1	MMP10	MMP3	MYC	NFE2L2	NFKB1	NQO1	PDK4	PEG10	PPP2R4	PTEN	SDHB	SLC10A1	SLC22A1	SLC22A6	SLCO1B1	STAT3	SULT2A1	TGFA	TGFB1	THRSP	TIMP1	TNFRSF1A	TP53	UGT1A1	UGT1A6	XBP1
237	Acibenzolar-S-methyl	135158-54-2	DTXSID1032519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	1	NA	0	0	0	0	0	0	0	0	0	0	0	0
238	Acrylamide	79-06-1	DTXSID5020027	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	1	0	0	0	0	0	0	0	0	0
239	Adipic acid, polypropyleneglycol, laurate	66456-53-9	DTXSID6047527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
240	Aflatoxin B1	1162-65-8	DTXSID9020035	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1
241	Alachlor	15972-60-8	DTXSID1022265	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
242	Aldicarb	116-06-3	DTXSID0039223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
243	Aldicarb oxime	1646-75-9	DTXSID9024431	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	1	0	0	0	0	0	0	0	0	0	0
244	Aldrin	309-00-2	DTXSID8020040	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0	0	0	0	0	0	NA	1	NA	1	0	0	0	0	1	0	0	0	1	0	0
245	all-trans-Retinoic acid	302-79-4	DTXSID7021239	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	1	NA	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	NA	1	1	1	1	1	1	1	1	1	0	1	NA	1	NA	1	0	1	0	0	0	0	0	1	1	1	0
246	Allethrin	584-79-2	DTXSID8035180	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	NA	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	NA	0	1	0	0	1	0	1	1	0	0	1	NA	1	NA	1	1	1	0	0	1	0	0	0	1	1	0
247	Allura Red C.I.16035	25956-17-6	DTXSID4024436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	NA	0	NA	0	1	0	0	0	0	0	0	0	0	0	0
248	alpha-Cyclodextrin	10016-20-3	DTXSID7030698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
249	alpha-Isomethylionone	127-51-5	DTXSID7027047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	NA	0	NA	0	1	0	0	0	0	0	0	0	0	0	0
250	Ametryn	834-12-8	DTXSID1023869	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	NA	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	1	NA	0	0	0	0	1	0	0	1	0	0	0	NA	1	NA	1	1	0	0	0	1	0	0	0	1	0	1
251	Aminopterin	54-62-6	DTXSID3022588	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	NA	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	NA	1	NA	0	0	1	0	0	1	0	0	0	0	0	0
252	Amiodarone hydrochloride	19774-82-4	DTXSID7037185	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	NA	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	0	1	1	1	0	1	1	0	0	0	NA	1	NA	1	0	1	1	0	1	0	0	1	1	1	1
253	Amitraz	33089-61-1	DTXSID5023871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	1	0	0
254	Ammonium carbamate	1111-78-0	DTXSID9027360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
255	Ammonium perfluorooctanoate	3825-26-1	DTXSID8037708	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	NA	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	NA	0	0	0	1	0	0	1	0	0	0	0	NA	0	NA	0	0	0	1	1	1	0	0	1	1	0	0
256	Anilazine	101-05-3	DTXSID9020089	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	NA	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	1	0	1	0	0
257	Anthracene	120-12-7	DTXSID0023878	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1
258	Anthralin	1143-38-0	DTXSID7024538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
259	Aplaviroc hydrochloride	461023-63-2	DTXSID1047316	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	0	1	1	1	1	1	1	1	1
260	Aspirin	50-78-2	DTXSID5020108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
261	Asulam	3337-71-1	DTXSID8023890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
262	Atrazine	1912-24-9	DTXSID9020112	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	NA	0	1	0	0	0	0	0	1	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	1	0	0
263	AVE2865	648917-13-9	DTXSID5047376	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	NA	0	NA	0	0	0	0	0	1	0	0	0	0	0	0
264	AVE3247	1437319-46-4	DTXSID4047383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
265	AVE3295	478263-98-8	DTXSID5047372	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	NA	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	NA	1	0	0	0	0	0	1	1	0	0	0	NA	1	NA	1	0	1	0	0	1	0	1	0	1	1	1
266	AVE5638	725228-45-5	DTXSID0047371	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	NA	1	1	0	0	0	0	1	1	1	0	0	NA	1	NA	1	0	1	0	0	1	1	1	1	1	1	0
267	AVE6324	NOCAS_47377	DTXSID0047377	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	NA	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	NA	0	1	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	1	0	0	1	1	0	0	0	0	0
268	AVE8488	NOCAS_47349	DTXSID8047349	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	NA	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	NA	0	0	0	0	0	0	1	1	0	0	0	NA	1	NA	0	0	0	0	1	0	0	0	0	0	0	0
269	AVE8923	NOCAS_47381	DTXSID4047381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	NA	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	1	0	0	0	0	0	0	0	0	0	1	0
270	AVE9423	862243-29-6	DTXSID0047375	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	NA	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	1	1	0	1	0	0	1	0	0	0	NA	0	NA	0	0	0	0	0	0	1	1	1	1	1	0
271	Azamethiphos	35575-96-3	DTXSID9034818	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	NA	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	NA	0	1	0	0	0	0	0	1	0	0	0	NA	1	NA	0	0	0	0	0	1	0	1	1	1	1	0
272	Azathioprine	446-86-6	DTXSID4020119	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	1	1	NA	1	1	1	1	0	1	1	1	0	0	0	NA	1	NA	1	0	1	0	1	1	0	0	0	1	1	0
273	Azinphos-methyl	86-50-0	DTXSID3020122	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	NA	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	1	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	1	0	0
274	Azobenzene	103-33-3	DTXSID8020123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	NA	0	1	0	0	0	0	0	0	0	0	0	NA	0	NA	0	1	0	0	0	0	0	0	0	1	0	0
275	Azoxystrobin	131860-33-8	DTXSID0032520	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0
276	Bendiocarb	22781-23-3	DTXSID9032327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277	Benfluralin	1861-40-1	DTXSID3023899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
278	Benodanil	15310-01-7	DTXSID7041623	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	NA	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	1	NA	0	0	1	1	0	1	1	1	0	1	0	NA	1	NA	1	1	0	0	1	1	0	1	1	1	1	1
279	Benomyl	17804-35-2	DTXSID5023900	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	1	0	0	0	0	0	0	0	1	0	NA	0	NA	0	0	0	0	0	0	0	0	0	1	0	0
280	Bensulide	741-58-2	DTXSID9032329	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	NA	1	1	1	1	0	0	1	1	1	1	1	NA	1	NA	1	1	1	0	1	1	1	1	1	1	1	0
281	Bentazone	25057-89-0	DTXSID0023901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
282	Benz(a)anthracene	56-55-3	DTXSID5023902	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	NA	0	0	1	0	0	0	1	1	0	1	1	NA	1	NA	1	1	1	0	0	1	1	1	0	1	0	1
283	Benzal chloride	98-87-3	DTXSID6025014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
284	Benzidine	92-87-5	DTXSID2020137	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	0	0	0	NA	0	NA	0	0	0	0	1	1	1	0	0	1	0	0
285	Benzo(b)fluoranthene	205-99-2	DTXSID0023907	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	NA	0	0	1	1	1	0	1	1	1	1	1	NA	1	NA	1	1	1	1	0	1	1	1	0	0	0	1
286	Benzoic acid	65-85-0	DTXSID6020143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	NA	0	NA	0	1	0	0	0	0	0	0	0	0	0	0
287	Benzophenone	119-61-9	DTXSID0021961	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	1	0	1	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	1	0	0
288	Benzotrichloride	98-07-7	DTXSID1020148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
289	Benzyl alcohol	100-51-6	DTXSID5020152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
290	Benzyl butyl phthalate	85-68-7	DTXSID3020205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	NA	0	NA	0	0	0	0	0	0	1	0	0	0	0	0
291	Benzyloctyl adipate	58394-64-2	DTXSID1047528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
292	Besonprodil	253450-09-8	DTXSID2047270	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	NA	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	NA	0	0	1	0	0	0	1	1	0	0	1	NA	1	NA	0	0	0	0	0	1	0	0	0	0	0	0
293	beta-Hexachlorocyclohexane	319-85-7	DTXSID7020685	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	1	1	0	1	NA	0	NA	0	0	0	0	0	0	0	0	0	1	0	0
294	Bifenazate	149877-41-8	DTXSID5032525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
295	Bifenthrin	82657-04-3	DTXSID9020160	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	NA	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	NA	1	1	1	0	1	0	0	1	0	0	0	NA	1	NA	0	1	0	0	0	0	0	0	0	1	0	0
296	Biphenyl	92-52-4	DTXSID4020161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
297	Bis(1-methylethyl) methylphosphonate	1445-75-6	DTXSID5024051	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	0	0	0	0	0	0	0	1	1	1	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
